,carat,cut,color,depth,table,price,x,y,z
0,0.91,Very Good,F,62.1,58.0,4917,6.19,6.24,3.86
1,1.08,Ideal,G,61.9,58.0,4675,6.55,6.57,4.06
2,0.31,Very Good,I,57.7,62.0,613,4.51,4.53,2.61
3,0.31,Premium,F,61.9,58.0,977,4.39,4.36,2.71
4,1.54,Premium,E,59.3,60.0,11795,7.58,7.54,4.48
5,0.7,Premium,J,61.2,60.0,1843,5.7,5.73,3.5
6,0.3,Ideal,G,61.7,57.0,878,4.34,4.31,2.67
7,0.4,Very Good,G,61.2,57.0,1220,4.77,4.79,2.92
8,1.0,Good,G,56.7,62.0,4838,6.64,6.59,3.75
9,0.72,Premium,G,62.8,60.0,2352,5.78,5.68,3.6
10,0.51,Ideal,E,61.3,61.0,1128,5.13,5.15,3.15
11,0.4,Very Good,F,62.2,57.6,1089,4.74,4.76,2.96
12,0.36,Ideal,E,61.4,57.0,810,4.59,4.56,2.81
13,0.56,Ideal,I,62.1,54.0,1237,5.3,5.33,3.3
14,2.01,Premium,I,60.1,59.0,14752,8.21,8.15,4.92
15,0.57,Ideal,D,61.8,55.0,1981,5.32,5.34,3.29
16,1.2,Very Good,G,63.4,56.0,8596,6.74,6.7,4.26
17,0.57,Ideal,G,62.2,55.0,1441,5.33,5.35,3.32
18,0.36,Ideal,H,61.3,57.0,1163,4.59,4.61,2.82
19,1.26,Ideal,G,61.8,57.0,6362,6.93,6.95,4.29
20,0.76,Good,F,57.9,56.0,2706,6.08,6.0,3.5
21,0.71,Premium,J,60.7,59.0,1609,5.75,5.71,3.48
22,1.33,Premium,I,62.3,59.0,5765,7.01,6.98,4.36
23,0.31,Very Good,I,63.1,54.0,558,4.34,4.31,2.73
24,0.38,Ideal,F,60.9,58.0,954,4.66,4.7,2.85
25,0.59,Ideal,D,60.9,56.0,2175,5.39,5.44,3.3
26,0.32,Very Good,E,62.0,60.0,486,4.38,4.43,2.73
27,1.04,Premium,D,60.6,56.0,15671,6.6,6.54,3.98
28,0.51,Good,E,58.6,65.0,2020,5.32,5.24,3.1
29,1.22,Premium,H,62.2,58.0,5773,6.84,6.76,4.23
30,0.74,Ideal,D,61.8,56.0,3517,5.84,5.88,3.62
31,1.6,Premium,G,60.6,60.0,16068,7.51,7.57,4.57
32,1.24,Premium,H,61.2,57.0,5694,7.02,6.87,4.25
33,0.54,Ideal,F,60.9,57.0,1866,5.26,5.21,3.19
34,0.32,Ideal,E,62.3,54.0,917,4.37,4.4,2.73
35,1.05,Ideal,G,61.4,56.0,9555,6.54,6.59,4.03
36,1.53,Very Good,I,61.6,56.0,7406,7.39,7.45,4.57
37,1.04,Ideal,F,61.4,56.0,5663,6.52,6.58,4.02
38,0.26,Very Good,H,63.3,58.0,600,4.08,4.04,2.57
39,1.05,Very Good,H,63.0,59.0,4158,6.44,6.48,4.07
40,0.35,Very Good,H,62.5,58.0,706,4.48,4.51,2.81
41,0.9,Premium,E,60.6,53.0,4562,6.3,6.27,3.81
42,0.34,Ideal,G,62.1,57.0,765,4.5,4.46,2.78
43,0.27,Very Good,F,62.3,59.0,591,4.14,4.18,2.59
44,1.02,Very Good,F,62.9,59.0,8940,6.37,6.42,4.02
45,0.36,Premium,G,59.3,59.0,473,4.62,4.66,2.75
46,0.7,Ideal,E,61.9,56.0,3330,5.7,5.73,3.54
47,0.32,Premium,F,62.7,57.0,684,4.4,4.37,2.75
